# key	pt-PT	en	es	fr	de	zh-Hans	ar	ja
literal.atelier	ATELIER / 22	WORKSHOP / 22	TALLER / 22	ATELIER / 22	WERKSTATT / 22	工坊 / 22	ورشة العمل / 22	エディター / 22
literal.editor	PLATFORM2D · EDITOR	PLATFORM2D · EDITOR	PLATFORM2D · EDITOR	PLATFORM2D · ÉDITEUR	PLATFORM2D · EDITOR	PLATFORM2D · 编辑器	PLATFORM2D · المحرر	PLATFORM2D · エディター
literal.new	Novo	New	Nuevo	Nouveau	Neu	新建	جديد	新規
literal.open	Abrir	Open	Abrir	Ouvrir	Öffnen	打开	فتح	開く
literal.save	Guardar	Save	Guardar	Enregistrer	Speichern	保存	حفظ	保存
literal.save_as	Guardar como	Save as	Guardar como	Enregistrer sous	Speichern unter	另存为	حفظ باسم	名前を付けて保存
literal.undo	Desfazer	Undo	Deshacer	Annuler	Rückgängig	撤销	تراجع	元に戻す
literal.redo	Refazer	Redo	Rehacer	Rétablir	Wiederholen	重做	إعادة	やり直す
literal.validate	Validar [F8]	Validate [F8]	Validar [F8]	Valider [F8]	Prüfen [F8]	验证 [F8]	تحقق [F8]	検証 [F8]
literal.test	Testar [F5]	Test [F5]	Probar [F5]	Tester [F5]	Testen [F5]	测试 [F5]	اختبار [F5]	テスト [F5]
literal.name	Nome	Name	Nombre	Nom	Name	名称	الاسم	名前
literal.size	Tamanho	Size	Tamaño	Taille	Größe	尺寸	الحجم	サイズ
literal.tiles	Tiles	Tiles	Casillas	Tuiles	Kacheln	图块	البلاطات	タイル
literal.objects	Objetos	Objects	Objetos	Objets	Objekte	对象	العناصر	オブジェクト
literal.grid	Grelha	Grid	Cuadrícula	Grille	Raster	网格	الشبكة	グリッド
literal.tools	FERRAMENTAS	TOOLS	HERRAMIENTAS	OUTILS	WERKZEUGE	工具	الأدوات	ツール
literal.rooms	Salas…	Rooms…	Salas…	Salles…	Räume…	房间…	الغرف…	部屋…
literal.player_weapon	Arma do jogador…	Player weapon…	Arma del jugador…	Arme du joueur…	Spielerwaffe…	玩家武器…	سلاح اللاعب…	プレイヤーの武器…
