# key, pt-PT, en, es, fr, de, zh-Hans, ar, ja
action.left	Esquerda	Left	Izquierda	Gauche	Links	左	يسار	左
action.right	Direita	Right	Derecha	Droite	Rechts	右	يمين	右
action.up	Subir	Up	Subir	Monter	Hoch	上	أعلى	上
action.down	Descer	Down	Bajar	Descendre	Runter	下	أسفل	下
action.jump	Saltar	Jump	Saltar	Sauter	Springen	跳跃	قفز	ジャンプ
action.dash	Dash	Dash	Impulso	Ruée	Sprint	冲刺	اندفاع	ダッシュ
action.guard	Defender	Guard	Defender	Parer	Abwehren	防御	دفاع	防御
action.attack	Atacar	Attack	Atacar	Attaquer	Angreifen	攻击	هجوم	攻撃
action.shoot	Disparar	Shoot	Disparar	Tirer	Schießen	射击	إطلاق النار	射撃
action.use_item	Usar kit	Use kit	Usar botiquín	Utiliser le kit	Set verwenden	使用工具包	استخدام العدة	キットを使う
action.continue	Continuar	Continue	Continuar	Continuer	Weiter	继续	متابعة	続ける
action.interact	Interagir	Interact	Interactuar	Interagir	Interagieren	互动	تفاعل	調べる
action.restart	Checkpoint	Checkpoint	Punto de control	Point de contrôle	Kontrollpunkt	检查点	نقطة الحفظ	チェックポイント
action.reset	Recomeçar	Restart	Reiniciar	Recommencer	Neustart	重新开始	إعادة البدء	最初から
action.debug	Diagnóstico	Diagnostics	Diagnóstico	Diagnostic	Diagnose	诊断	تشخيص	診断
action.pause	Pausa	Pause	Pausa	Pause	Pause	暂停	إيقاف مؤقت	一時停止
action.step	Avançar um passo	Step forward	Avanzar un paso	Avancer d’un pas	Einzelschritt	单步前进	تقدم خطوة	1ステップ進む
action.save_progress	Guardar progresso	Save progress	Guardar progreso	Sauvegarder	Fortschritt speichern	保存进度	حفظ التقدم	進行状況を保存
action.load_progress	Carregar progresso	Load progress	Cargar progreso	Charger	Fortschritt laden	读取进度	تحميل التقدم	進行状況を読込
key.space	Espaço	Space	Espacio	Espace	Leertaste	空格	المسافة	スペース
key.left	Esquerda	Left	Izquierda	Gauche	Links	左	يسار	左
key.right	Direita	Right	Derecha	Droite	Rechts	右	يمين	右
key.up	Cima	Up	Arriba	Haut	Hoch	上	أعلى	上
key.down	Baixo	Down	Abajo	Bas	Runter	下	أسفل	下
key.left_shift	Shift esq.	Left Shift	Shift izq.	Maj gauche	Umschalt links	左 Shift	Shift الأيسر	左 Shift
key.right_shift	Shift dir.	Right Shift	Shift der.	Maj droite	Umschalt rechts	右 Shift	Shift الأيمن	右 Shift
key.left_ctrl	Ctrl esq.	Left Ctrl	Ctrl izq.	Ctrl gauche	Strg links	左 Ctrl	Ctrl الأيسر	左 Ctrl
key.right_ctrl	Ctrl dir.	Right Ctrl	Ctrl der.	Ctrl droite	Strg rechts	右 Ctrl	Ctrl الأيمن	右 Ctrl
profile.campaign_editor	Teste de campanha	Campaign test	Prueba de campaña	Test de campagne	Kampagnentest	战役测试	اختبار الحملة	キャンペーンテスト
profile.classic	Clássico	Classic	Clásico	Classique	Klassisch	经典	كلاسيكي	クラシック
profile.rooms	Salas	Rooms	Salas	Salles	Räume	房间	الغرف	部屋
profile.precision	Precisão	Precision	Precisión	Précision	Präzision	精准	الدقة	精密操作
profile.sentinels	Sentinelas	Sentinels	Centinelas	Sentinelles	Wächter	哨兵	الحراس	番兵
profile.ranged	Combate	Combat	Combate	Combat	Kampf	战斗	القتال	戦闘
profile.campaign	Campanha	Campaign	Campaña	Campagne	Kampagne	战役	الحملة	キャンペーン
profile.adventure	Aventura	Adventure	Aventura	Aventure	Abenteuer	冒险	المغامرة	冒険
profile.custom	Personalizado	Custom	Personalizado	Personnalisé	Benutzerdefiniert	自定义	مخصص	カスタム
header	COMANDOS	CONTROLS	CONTROLES	COMMANDES	STEUERUNG	操作设置	التحكم	操作設定
hint	F3: comandos	F3: controls	F3: controles	F3 : commandes	F3: Steuerung	F3：操作设置	F3: التحكم	F3：操作設定
select	Setas / Tab: selecionar · Enter: alterar · Delete: limpar · Esc: cancelar	Arrows / Tab: select · Enter: change · Delete: clear · Esc: cancel	Flechas / Tab: elegir · Enter: cambiar · Delete: borrar · Esc: cancelar	Flèches / Tab : choisir · Entrée : modifier · Suppr : effacer · Échap : annuler	Pfeile / Tab: wählen · Enter: ändern · Entf: löschen · Esc: abbrechen	方向键 / Tab：选择 · Enter：更改 · Delete：清除 · Esc：取消	الأسهم / Tab: اختيار · Enter: تعديل · Delete: مسح · Esc: إلغاء	矢印 / Tab：選択 · Enter：変更 · Delete：消去 · Esc：キャンセル
action	Ação	Action	Acción	Action	Aktion	操作	الإجراء	操作
primary	Tecla principal	Primary key	Tecla principal	Touche principale	Haupttaste	主按键	المفتاح الأساسي	主キー
alternate	Alternativa	Alternative	Alternativa	Autre touche	Alternative	备用按键	البديل	副キー
gamepad	Gamepad	Gamepad	Mando	Manette	Gamepad	手柄	يد التحكم	コントローラー
save	Guardar	Save	Guardar	Enregistrer	Speichern	保存	حفظ	保存
cancel	Cancelar	Cancel	Cancelar	Annuler	Abbrechen	取消	إلغاء	キャンセル
restore	Repor origem	Restore defaults	Restaurar	Réinitialiser	Zurücksetzen	恢复默认	استعادة الافتراضي	初期設定に戻す
deadzone	Zona morta: {value}%	Deadzone: {value}%	Zona muerta: {value}%	Zone morte : {value}%	Totzone: {value}%	死区：{value}%	المنطقة الميتة: {value}%	デッドゾーン：{value}%
movement	Direcional / analógico	D-pad / stick	Cruceta / palanca	Croix / stick	Steuerkreuz / Stick	方向键 / 摇杆	الاتجاهات / العصا	十字キー / スティック
footer	A/B/X/Y: posições Xbox. Centra o analógico após perder o foco. Ctrl+S: guardar.	A/B/X/Y: Xbox layout. Center the stick after losing focus. Ctrl+S: save.	A/B/X/Y: posiciones Xbox. Centra la palanca al perder el foco. Ctrl+S: guardar.	A/B/X/Y : disposition Xbox. Recentrez le stick après perte du focus. Ctrl+S : enregistrer.	A/B/X/Y: Xbox-Anordnung. Stick nach Fokusverlust zentrieren. Strg+S: speichern.	A/B/X/Y：Xbox 布局。失去焦点后将摇杆归中。Ctrl+S：保存。	A/B/X/Y: ترتيب Xbox. أعد العصا للوسط بعد فقدان التركيز. Ctrl+S: حفظ.	A/B/X/Y：Xbox 配置。フォーカスを失ったらスティックを中央へ。Ctrl+S：保存。
select_cell	Seleciona uma célula e carrega Enter para alterar.	Select a cell and press Enter to change it.	Selecciona una casilla y pulsa Enter para cambiarla.	Sélectionnez une cellule et appuyez sur Entrée.	Wähle ein Feld und drücke Enter zum Ändern.	选择一个单元格，按 Enter 更改。	اختر خلية واضغط Enter لتعديلها.	セルを選び、Enter で変更します。
