# key	pt-PT	en	es	fr	de	zh-Hans	ar	ja
menu.pause	Em pausa	Paused	En pausa	En pause	Pausiert	已暂停	إيقاف مؤقت	一時停止
menu.options	Opções	Options	Opciones	Options	Optionen	选项	الخيارات	オプション
menu.confirm	Confirmar	Confirm	Confirmar	Confirmer	Bestätigen	确认	تأكيد	確認
menu.quit	Sair da campanha	Leave campaign	Salir de la campaña	Quitter la campagne	Kampagne verlassen	退出战役	مغادرة الحملة	キャンペーンを終了
menu.suspended	O jogo fica suspenso enquanto escolhes.	The game stays paused while you choose.	El juego permanece en pausa mientras eliges.	Le jeu reste en pause pendant votre choix.	Das Spiel bleibt während der Auswahl pausiert.	选择期间游戏保持暂停。	تبقى اللعبة متوقفة مؤقتًا أثناء الاختيار.	選択中はゲームが一時停止します。
menu.help	↑ / ↓ escolher · Enter confirmar · rato disponível · Esc voltar	↑ / ↓ select · Enter confirm · mouse available · Esc back	↑ / ↓ elegir · Enter confirmar · ratón disponible · Esc volver	↑ / ↓ choisir · Entrée confirmer · souris disponible · Échap retour	↑ / ↓ wählen · Eingabe bestätigen · Maus verfügbar · Esc zurück	↑ / ↓ 选择 · 回车确认 · 可用鼠标 · Esc 返回	↑ / ↓ للاختيار · Enter للتأكيد · يمكن استخدام الفأرة · Esc للرجوع	↑ / ↓ 選択 · Enter 決定 · マウス使用可 · Esc 戻る
menu.options_help	Opções de som e efeitos aplicam-se a esta sessão.	Sound and effects settings apply to this session.	El sonido y los efectos se aplican a esta sesión.	Les réglages du son et des effets s'appliquent à cette session.	Ton- und Effekteinstellungen gelten für diese Sitzung.	声音和特效设置应用于本次游戏。	تُطبّق إعدادات الصوت والمؤثرات على هذه الجلسة.	音とエフェクトの設定はこのプレイに適用されます。
menu.new	Nova campanha	New campaign	Nueva campaña	Nouvelle campagne	Neue Kampagne	新战役	حملة جديدة	新しいキャンペーン
menu.continue	Continuar gravação	Continue saved game	Continuar partida	Continuer la sauvegarde	Spielstand fortsetzen	继续存档	متابعة اللعبة المحفوظة	セーブから再開
menu.leave	Sair	Exit	Salir	Quitter	Beenden	退出	خروج	終了
menu.resume	Retomar	Resume	Reanudar	Reprendre	Fortsetzen	继续	استئناف	再開
menu.save	Guardar progresso	Save progress	Guardar progreso	Sauvegarder	Fortschritt speichern	保存进度	حفظ التقدم	進行状況を保存
menu.load	Carregar gravação	Load saved game	Cargar partida	Charger la sauvegarde	Spielstand laden	加载存档	تحميل اللعبة المحفوظة	セーブを読み込む
menu.volume_down	Volume −  ({value})	Volume −  ({value})	Volumen −  ({value})	Volume −  ({value})	Lautstärke −  ({value})	音量 −  ({value})	مستوى الصوت −  ({value})	音量 −  ({value})
menu.volume_up	Volume +	Volume +	Volumen +	Volume +	Lautstärke +	音量 +	مستوى الصوت +	音量 +
menu.sound	Som: {value}	Sound: {value}	Sonido: {value}	Son : {value}	Ton: {value}	声音：{value}	الصوت: {value}	音：{value}
menu.sound_off	desligado	off	desactivado	coupé	aus	关闭	إيقاف	オフ
menu.sound_on	ligado	on	activado	activé	ein	开启	تشغيل	オン
