# key, pt-PT, en, es, fr, de, zh-Hans, ar, ja (tab separated)
game_title	RESGATE NA ESTAÇÃO	RESCUE AT THE STATION	RESCATE EN LA ESTACIÓN	SAUVETAGE À LA STATION	RETTUNG AUF DER STATION	空间站救援	الإنقاذ في المحطة	宇宙ステーション救出作戦
tagline	Três setores. Uma equipa à espera. Uma última nave.	Three sectors. A team waiting. One last ship.	Tres sectores. Un equipo esperando. Una última nave.	Trois secteurs. Une équipe à sauver. Un dernier vaisseau.	Drei Sektoren. Ein wartendes Team. Ein letztes Schiff.	三个区域。一支等待救援的队伍。最后一艘飞船。	ثلاثة قطاعات. فريق ينتظر. سفينة أخيرة.	3つの区域。救助を待つ仲間。最後の宇宙船。
new_game	Nova missão	New mission	Nueva misión	Nouvelle mission	Neue Mission	新任务	مهمة جديدة	新しいミッション
continue	Continuar	Continue	Continuar	Continuer	Fortsetzen	继续	متابعة	続ける
controls	Comandos (F3)	Controls (F3)	Controles (F3)	Commandes (F3)	Steuerung (F3)	操作设置 (F3)	التحكم (F3)	操作設定 (F3)
quit	Sair	Quit	Salir	Quitter	Beenden	退出	خروج	終了
hint0	Recupera os dois equipamentos e chega à saída.	Recover both pieces of equipment and reach the exit.	Recupera los dos equipos y llega a la salida.	Récupérez les deux équipements et rejoignez la sortie.	Sammle beide Ausrüstungsteile und erreiche den Ausgang.	收集两件装备，然后前往出口。	اجمع قطعتي المعدات ثم اتجه إلى المخرج.	装備を2つ回収して出口へ向かおう。
hint1	{jump} / {up}: nadar · {down}: mergulhar · procura AR.	{jump} / {up}: swim · {down}: dive · look for AIR.	{jump} / {up}: nadar · {down}: sumergirse · busca AIRE.	{jump} / {up} : nager · {down} : plonger · cherchez l’AIR.	{jump} / {up}: schwimmen · {down}: tauchen · suche LUFT.	{jump} / {up}：游泳 · {down}：下潜 · 寻找空气。	{jump} / {up}: سباحة · {down}: غوص · ابحث عن الهواء.	{jump} / {up}：泳ぐ · {down}：潜る · 空気を探そう。
hint2	Corre para a nave. A ameaça aproxima-se pela esquerda.	Run to the ship. The threat is closing in from the left.	Corre hacia la nave. La amenaza se acerca por la izquierda.	Courez vers le vaisseau. Le danger arrive par la gauche.	Laufe zum Schiff. Die Gefahr nähert sich von links.	跑向飞船。危险正从左侧逼近。	اركض إلى السفينة. الخطر يقترب من اليسار.	宇宙船へ急ごう。左から危険が迫っている。
saved	Progresso guardado.	Progress saved.	Progreso guardado.	Progression sauvegardée.	Fortschritt gespeichert.	进度已保存。	تم حفظ التقدم.	進行状況を保存しました。
equipment	Equipamento recuperado.	Equipment recovered.	Equipo recuperado.	Équipement récupéré.	Ausrüstung geborgen.	已回收装备。	تم استعادة المعدات.	装備を回収しました。
valve	Válvula de emergência ativada.	Emergency valve activated.	Válvula de emergencia activada.	Vanne d’urgence activée.	Notfallventil aktiviert.	应急阀门已启动。	تم تشغيل صمام الطوارئ.	緊急バルブを作動させました。
